
 cos(theta_lab) = 0.999988, ga_en = 17.994671 GeV, ga_mom = 17.952944 GeV, theta_lab = 0.281746 deg0.010000      2.172998e+01

 cos(theta_lab) = 0.999840, ga_en = 17.941382 GeV, ga_mom = 17.899530 GeV, theta_lab = 1.026147 deg0.110000      1.797105e+00

 cos(theta_lab) = 0.999690, ga_en = 17.888092 GeV, ga_mom = 17.846116 GeV, theta_lab = 1.425545 deg0.210000      7.998833e-01

 cos(theta_lab) = 0.999541, ga_en = 17.834803 GeV, ga_mom = 17.792700 GeV, theta_lab = 1.736960 deg0.310000      4.391296e-01

 cos(theta_lab) = 0.999390, ga_en = 17.781513 GeV, ga_mom = 17.739285 GeV, theta_lab = 2.001895 deg0.410000      2.473031e-01

 cos(theta_lab) = 0.999238, ga_en = 17.728224 GeV, ga_mom = 17.685868 GeV, theta_lab = 2.236937 deg0.510000      1.447788e-01

 cos(theta_lab) = 0.999085, ga_en = 17.674934 GeV, ga_mom = 17.632450 GeV, theta_lab = 2.450712 deg0.610000      8.847154e-02

 cos(theta_lab) = 0.998932, ga_en = 17.621645 GeV, ga_mom = 17.579032 GeV, theta_lab = 2.648385 deg0.710000      5.617210e-02

 cos(theta_lab) = 0.998778, ga_en = 17.568356 GeV, ga_mom = 17.525613 GeV, theta_lab = 2.833338 deg0.810000      3.685284e-02

 cos(theta_lab) = 0.998622, ga_en = 17.515066 GeV, ga_mom = 17.472193 GeV, theta_lab = 3.007926 deg0.910000      2.486664e-02

 cos(theta_lab) = 0.998466, ga_en = 17.461777 GeV, ga_mom = 17.418773 GeV, theta_lab = 3.173868 deg1.010000      1.718608e-02

 cos(theta_lab) = 0.998309, ga_en = 17.408487 GeV, ga_mom = 17.365351 GeV, theta_lab = 3.332465 deg1.110000      1.212830e-02

 cos(theta_lab) = 0.998151, ga_en = 17.355198 GeV, ga_mom = 17.311929 GeV, theta_lab = 3.484727 deg1.210000      8.719041e-03

 cos(theta_lab) = 0.997992, ga_en = 17.301908 GeV, ga_mom = 17.258506 GeV, theta_lab = 3.631458 deg1.310000      6.368441e-03

 cos(theta_lab) = 0.997832, ga_en = 17.248619 GeV, ga_mom = 17.205082 GeV, theta_lab = 3.773311 deg1.410000      4.719987e-03

 cos(theta_lab) = 0.997671, ga_en = 17.195330 GeV, ga_mom = 17.151658 GeV, theta_lab = 3.910825 deg1.510000      3.544436e-03

 cos(theta_lab) = 0.997510, ga_en = 17.142040 GeV, ga_mom = 17.098232 GeV, theta_lab = 4.044448 deg1.610000      2.692408e-03

 cos(theta_lab) = 0.997347, ga_en = 17.088751 GeV, ga_mom = 17.044806 GeV, theta_lab = 4.174561 deg1.710000      2.067036e-03

 cos(theta_lab) = 0.997183, ga_en = 17.035461 GeV, ga_mom = 16.991378 GeV, theta_lab = 4.301490 deg1.810000      1.602753e-03

 cos(theta_lab) = 0.997018, ga_en = 16.982172 GeV, ga_mom = 16.937950 GeV, theta_lab = 4.425515 deg1.910000      1.253926e-03

